
"['2023-02-18 05:06:25', '31.4']"
"['2023-02-18 05:05:25', '31.4']"
"['2023-02-18 05:04:25', '31.4']"
"['2023-02-18 05:03:25', '31.4']"
"['2023-02-18 05:02:25', '31.4']"
"['2023-02-18 05:01:25', '31.4']"
"['2023-02-18 05:00:25', '31.4']"
"['2023-02-18 04:59:25', '31.4']"
"['2023-02-18 04:58:25', '31.3']"
"['2023-02-18 05:08:25', '31.5']"
"['2023-02-18 05:07:25', '31.5']"
"['2023-02-18 05:13:25', '31.5']"
"['2023-02-18 05:12:25', '31.5']"
"['2023-02-18 05:16:25', '31.5']"
"['2023-02-18 05:15:25', '31.5']"
"['2023-02-18 05:18:25', '31.5']"
"['2023-02-18 05:17:25', '31.5']"
"['2023-02-18 05:20:25', '31.5']"
"['2023-02-18 05:19:25', '31.5']"
"['2023-02-18 05:23:25', '31.6']"
"['2023-02-18 05:22:25', '31.5']"
"['2023-02-18 05:26:25', '31.6']"
"['2023-02-18 05:25:25', '31.6']"
"['2023-02-18 05:31:25', '31.6']"
"['2023-02-18 05:30:25', '31.6']"
"['2023-02-18 05:33:25', '31.6']"
"['2023-02-18 05:32:25', '31.6']"
"['2023-02-18 05:37:25', '31.8']"
"['2023-02-18 05:36:25', '31.8']"
